ref_id,ALL,UTR5,CDS,UTR3
C04E12.7.2,1-1021,1-16,17-772,773-1021
C04E12.8.1,1-1053,1-39,40-1053,
C04E12.9.1,1-1077,,1-888,889-1077
C04E6.10.1,1-1113,1-1,2-1015,1016-1113
C04E6.11.1,1-3202,1-81,82-3069,3070-3202
C04E6.12a.1,1-726,,1-726,
C04E6.12b.1,1-856,1-73,74-736,737-856
C04E6.12c.1,1-678,,1-678,
C04E6.12d.1,1-741,,1-741,
C04E6.13.1,1-412,1-40,41-352,353-412
C04E6.2.1,1-942,1-9,10-942,
C04E6.4.1,1-1676,1-18,19-1182,1183-1676
C04E6.4.2,1-1441,,1-1164,1165-1441
C04E6.5.1,1-1634,1-74,75-1622,1623-1634
C04E6.6.1,1-1926,,1-1767,1768-1926
C04E6.7.1,1-1094,1-34,35-760,761-1094
C04E6.7.2,1-1422,1-361,362-1087,1088-1422
C04E6.7.3,1-1225,1-164,165-890,891-1225
C04E6.8.1,1-553,1-31,32-451,452-553
C04E6.9.1,1-1023,,1-1023,
C04E7.1.1,1-826,1-484,485-826,
C04E7.2.1,1-1815,1-1,2-1597,1598-1815
C04E7.3.1,1-4017,1-23,24-3164,3165-4017
C04E7.5.1,1-510,1-75,76-480,481-510
C04F1.1.1,1-1046,1-43,44-970,971-1046
C04F1.3.1,1-1914,1-102,103-1461,1462-1914
C04F12.1.1,1-3086,1-59,60-2894,2895-3086
C04F12.10.1,1-1473,1-1,2-1330,1331-1473
C04F12.12.1,1-511,1-38,39-452,453-511
C04F12.12.2,1-524,1-51,52-465,466-524
C04F12.12.3,1-527,1-54,55-468,469-527
C04F12.12.4,1-531,1-58,59-472,473-531
C04F12.12.5,1-586,1-113,114-527,528-586
C04F12.12.6,1-626,1-153,154-567,568-626
C04F12.16.1,1-544,1-90,91-288,289-544
C04F12.3.1,1-2011,1-156,157-1950,1951-2011
C04F12.4.1,1-451,1-5,6-413,414-451
C04F12.4.2,1-460,1-17,18-425,426-460
C04F12.5.1,1-432,,1-381,382-432
C04F12.5.2,1-413,,1-381,382-413
C04F12.7.1,1-698,1-52,53-661,662-698
C04F12.8.1,1-1187,1-11,12-830,831-1187
C04F12.9.1,1-494,1-2,3-422,423-494
C04F12.9.2,1-516,1-24,25-444,445-516
C04F2.1.1,1-1138,,1-1065,1066-1138
C04F2.4.1,1-999,,1-999,
C04F5.1.1,1-2653,1-7,8-2338,2339-2653
C04F5.1.2,1-2684,1-38,39-2369,2370-2684
C04F5.2a.1,1-540,,1-540,
C04F5.2b.1,1-1041,,1-1041,
C04F5.3.1,1-1189,1-120,121-900,901-1189
C04F5.4.1,1-1026,,1-1026,
C04F5.5.1,1-1029,,1-1029,
C04F5.6.1,1-1127,1-60,61-1086,1087-1127
C04F5.7.1,1-1561,1-25,26-1546,1547-1561
C04F5.8.1,1-1101,1-1,2-1030,1031-1101
C04F5.9.1,1-1708,1-53,54-1658,1659-1708
C04F6.1.1,1-4870,1-10,11-4822,4823-4870
C04F6.3.1,1-2041,1-1,2-1855,1856-2041
C04F6.4a.1,1-1992,1-1,2-1837,1838-1992
C04F6.4a.2,1-2060,1-69,70-1905,1906-2060
C04F6.5.1,1-1069,1-6,7-969,970-1069
C04F6.7.1,1-1506,1-162,163-1506,
C04F6.9.1,1-314,,1-198,199-314
C04G2.10a.1,1-1140,1-111,112-1080,1081-1140
C04G2.10a.2,1-1175,1-109,110-1078,1079-1175
C04G2.10b.1,1-1021,1-40,41-958,959-1021
C04G2.10c.1,1-1003,,1-906,907-1003
C04G2.11.1,1-1455,1-18,19-1455,
C04G2.1a.1,1-697,1-50,51-581,582-697
C04G2.1b.1,1-196,,1-84,85-196
C04G2.2.1,1-1248,1-76,77-1198,1199-1248
C04G2.4.1,1-800,1-371,372-755,756-800
C04G2.4.10,1-873,1-444,445-828,829-873
C04G2.4.11,1-848,1-419,420-803,804-848
C04G2.4.12,1-799,1-370,371-754,755-799
C04G2.4.13,1-806,1-377,378-761,762-806
C04G2.4.14,1-848,1-419,420-803,804-848
C04G2.4.15,1-817,1-388,389-772,773-817
C04G2.4.16,1-852,1-423,424-807,808-852
C04G2.4.17,1-859,1-430,431-814,815-859
C04G2.4.18,1-821,1-392,393-776,777-821
C04G2.4.19,1-844,1-415,416-799,800-844
C04G2.4.2,1-803,1-374,375-758,759-803
C04G2.4.20,1-816,1-396,397-780,781-816
C04G2.4.21,1-514,1-94,95-478,479-514
C04G2.4.22,1-721,1-301,302-685,686-721
C04G2.4.23,1-782,1-362,363-746,747-782
C04G2.4.24,1-760,1-340,341-724,725-760
C04G2.4.25,1-782,1-378,379-762,763-782
C04G2.4.26,1-464,1-35,36-419,420-464
C04G2.4.3,1-809,1-380,381-764,765-809
C04G2.4.4,1-821,1-392,393-776,777-821
C04G2.4.5,1-836,1-407,408-791,792-836
C04G2.4.6,1-838,1-409,410-793,794-838
C04G2.4.7,1-848,1-419,420-803,804-848
C04G2.4.8,1-855,1-426,427-810,811-855
C04G2.4.9,1-858,1-429,430-813,814-858
C04G2.5.1,1-779,1-46,47-724,725-779
C04G2.6.1,1-3050,1-12,13-2898,2899-3050
C04G2.6.2,1-3080,1-9,10-2895,2896-3080
C04G2.7.1,1-1384,1-78,79-948,949-1384
C04G2.7.2,1-1088,,1-870,871-1088
C04G2.8.1,1-744,1-100,101-694,695-744
C04G2.8.2,1-713,1-67,68-661,662-713
C04G2.9.1,1-1322,1-60,61-1176,1177-1322
C04G6.10.1,1-575,1-14,15-515,516-575
C04G6.11.1,1-396,,1-396,
C04G6.13.1,1-888,1-338,339-800,801-888
C04G6.1a.1,1-1944,1-34,35-1852,1853-1944
C04G6.1b.1,1-1378,1-34,35-1315,1316-1378
C04G6.1c.1,1-1965,1-160,161-1873,1874-1965
C04G6.1c.2,1-1938,1-133,134-1846,1847-1938
C04G6.1c.3,1-1812,1-7,8-1720,1721-1812
C04G6.2.1,1-649,1-33,34-546,547-649
C04G6.2.2,1-626,1-11,12-524,525-626
C04G6.3.1,1-4713,1-54,55-4338,4339-4713
C04G6.4.1,1-1483,1-8,9-1265,1266-1483
C04G6.4.2,1-1592,1-115,116-1372,1373-1592
C04G6.5.1,1-280,1-34,35-214,215-280
C04G6.6.1,1-910,1-366,367-678,679-910
C04G6.6.2,1-1731,1-366,367-678,679-1731
C04G6.7.1,1-516,1-18,19-516,
C04H4.1.1,1-261,1-3,4-261,
C04H5.1.1,1-1225,,1-378,379-1225
C04H5.1.2,1-1148,1-2,3-380,381-1148
C04H5.1.3,1-988,1-2,3-380,381-988
C04H5.1.4,1-599,1-2,3-380,381-599
C04H5.2.1,1-1105,1-269,270-1061,1062-1105
C04H5.3.1,1-3242,1-17,18-3227,3228-3242
C04H5.6a.1,1-3210,1-3,4-3030,3031-3210
C04H5.6b.1,1-312,,1-132,133-312
C04H5.7a.1,1-404,1-57,58-354,355-404
C04H5.7a.2,1-903,1-57,58-354,355-903
C04H5.7b.1,1-862,1-12,13-159,160-862
C04H5.8a.1,1-380,1-28,29-244,245-380
C04H5.8b.1,1-173,1-1,2-169,170-173
C05A2.1.1,1-1494,1-16,17-1066,1067-1494
C05A2.1.2,1-1580,1-102,103-1152,1153-1580
C05A2.1.3,1-1716,1-238,239-1288,1289-1716
C05A2.4.1,1-132,,1-132,
C05A9.1a.1,1-3991,1-67,68-3826,3827-3991
C05A9.1b.1,1-3544,,1-3483,3484-3544
C05A9.2.1,1-1282,1-1,2-505,506-1282
C05B10.1a.1,1-1249,,1-1110,1111-1249
C05B10.1b.1,1-2005,,1-1146,1147-2005
C05B5.1.1,1-509,1-27,28-465,466-509
C05B5.11.1,1-409,1-12,13-372,373-409
C05B5.12.1,1-359,1-35,36-317,318-359
C05B5.16.1,1-721,1-2,3-701,702-721
C05B5.17.1,1-564,,1-564,
C05B5.2.1,1-662,1-64,65-622,623-662
C05B5.3.1,1-1287,1-70,71-1228,1229-1287
C05B5.4.1,1-1076,,1-948,949-1076
C05B5.5a.1,1-1765,1-40,41-1054,1055-1765
C05B5.6.1,1-1274,1-40,41-1267,1268-1274
C05B5.7a.1,1-1277,1-24,25-630,631-1277
C05B5.7a.2,1-1270,1-108,109-714,715-1270
C05B5.7a.3,1-1215,1-9,10-615,616-1215
C05B5.7a.4,1-1173,,1-606,607-1173
C05B5.7a.5,1-1249,,1-606,607-1249
C05B5.7b.1,1-1108,,1-744,745-1108
C05B5.8.1,1-614,1-8,9-542,543-614
C05C10.1.1,1-1236,,1-1236,
C05C10.2a.1,1-4918,1-7,8-4579,4580-4918
C05C10.2b.1,1-4904,1-3,4-4581,4582-4904
C05C10.2c.1,1-4688,1-150,151-4365,4366-4688
C05C10.2c.2,1-4622,1-84,85-4299,4300-4622
C05C10.2d.1,1-4632,1-84,85-4293,4294-4632
C05C10.3.1,1-1719,1-5,6-1571,1572-1719
C05C10.4.1,1-1327,1-18,19-1260,1261-1327
C05C10.4.2,1-1323,1-18,19-1260,1261-1323
C05C10.4.3,1-1340,1-18,19-1260,1261-1340
C05C10.5a.1,1-1244,1-187,188-826,827-1244
C05C10.5b.1,1-1149,1-187,188-826,827-1149
C05C10.5c.1,1-816,1-202,203-493,494-816
C05C10.5c.10,1-997,1-383,384-674,675-997
C05C10.5c.11,1-981,1-367,368-658,659-981
C05C10.5c.12,1-992,1-378,379-669,670-992
C05C10.5c.13,1-968,1-354,355-645,646-968
C05C10.5c.14,1-987,1-373,374-664,665-987
C05C10.5c.15,1-972,1-358,359-649,650-972
C05C10.5c.16,1-973,1-359,360-650,651-973
C05C10.5c.17,1-968,1-354,355-645,646-968
C05C10.5c.18,1-944,1-327,328-618,619-944
C05C10.5c.19,1-966,1-352,353-643,644-966
C05C10.5c.2,1-1116,1-502,503-793,794-1116
C05C10.5c.20,1-966,1-352,353-643,644-966
C05C10.5c.21,1-959,1-345,346-636,637-959
C05C10.5c.22,1-956,1-342,343-633,634-956
C05C10.5c.23,1-925,1-311,312-602,603-925
C05C10.5c.24,1-909,1-295,296-586,587-909
C05C10.5c.3,1-1082,1-468,469-759,760-1082
C05C10.5c.4,1-1029,1-415,416-706,707-1029
C05C10.5c.5,1-1021,1-407,408-698,699-1021
C05C10.5c.6,1-1002,1-388,389-679,680-1002
C05C10.5c.7,1-1147,1-395,396-686,687-1147
C05C10.5c.8,1-989,1-375,376-666,667-989
C05C10.5c.9,1-986,1-372,373-663,664-986
C05C10.6a.1,1-2838,1-5,6-2582,2583-2838
C05C10.6b.1,1-2801,1-3,4-2586,2587-2801
C05C10.6b.2,1-2832,1-5,6-2588,2589-2832
C05C10.6c.1,1-847,,1-630,631-847
C05C10.7.1,1-718,1-36,37-681,682-718
C05C10.8.1,1-483,1-65,66-440,441-483
C05C12.1.1,1-1247,1-12,13-1230,1231-1247
C05C12.3.1,1-5275,1-70,71-5155,5156-5275
C05C12.4.1,1-1005,1-33,34-849,850-1005
C05C12.5.1,1-564,1-68,69-518,519-564
C05C12.6.1,1-933,1-78,79-687,688-933
C05C12.6.2,1-860,1-5,6-614,615-860
C05C8.1a.1,1-673,,1-603,604-673
C05C8.1b.1,1-676,,1-600,601-676
C05C8.2.1,1-1253,,1-1113,1114-1253
C05C8.3.1,1-1023,1-146,147-932,933-1023
C05C8.3.2,1-885,1-24,25-810,811-885
C05C8.3.3,1-1060,1-196,197-982,983-1060
C05C8.4.1,1-3485,1-3,4-3324,3325-3485
C05C8.4.2,1-3582,1-3,4-3324,3325-3582
C05C8.5.1,1-2101,1-13,14-1798,1799-2101
C05C8.6.1,1-1847,1-4,5-1750,1751-1847
C05C8.7.1,1-2193,1-270,271-1674,1675-2193
C05C8.7.2,1-2063,1-140,141-1544,1545-2063
C05C8.7.3,1-1956,1-33,34-1437,1438-1956
C05C8.7.4,1-2227,1-304,305-1708,1709-2227
C05C8.8.1,1-1433,1-38,39-1358,1359-1433
C05C8.9a.1,1-1101,1-177,178-1002,1003-1101
C05C8.9a.2,1-1024,1-100,101-925,926-1024
C05C8.9b.1,1-2147,1-160,161-649,650-2147
C05C8.9b.2,1-1248,1-160,161-649,650-1248
C05C8.9b.3,1-589,1-100,101-589,
C05C9.1.1,1-1757,,1-1437,1438-1757
C05C9.2.1,1-776,1-1,2-676,677-776
C05C9.3.1,1-4723,1-8,9-4640,4641-4723
C05D10.1a.1,1-1921,1-13,14-1603,1604-1921
C05D10.1b.1,1-1597,,1-1278,1279-1597
C05D10.1c.1,1-1810,1-117,118-1491,1492-1810
C05D10.1c.2,1-1705,1-12,13-1386,1387-1705
C05D10.1c.3,1-1919,1-226,227-1600,1601-1919
C05D10.2a.1,1-1741,1-34,35-1447,1448-1741
C05D10.2a.2,1-1756,1-49,50-1462,1463-1756
C05D10.3a.1,1-2154,,1-2016,2017-2154
C05D10.3b.1,1-1371,,1-1239,1240-1371
C05D10.4a.1,1-2042,1-121,122-1819,1820-2042
C05D10.4a.2,1-2052,1-131,132-1829,1830-2052
C05D10.4b.1,1-2016,,1-1794,1795-2016
C05D10.4c.1,1-1594,1-114,115-1371,1372-1594
C05D10.4c.2,1-2052,1-572,573-1829,1830-2052
C05D10.4c.3,1-2041,1-561,562-1818,1819-2041
C05D10.4c.4,1-2046,1-566,567-1823,1824-2046
C05D10.4c.5,1-1993,1-513,514-1770,1771-1993
C05D10.4c.6,1-1892,1-412,413-1669,1670-1892
C05D10.4c.7,1-1874,1-394,395-1651,1652-1874
C05D11.1.1,1-3116,1-10,11-2998,2999-3116
C05D11.10.1,1-605,1-6,7-489,490-605
C05D11.11a.1,1-1575,1-6,7-1461,1462-1575
C05D11.11a.2,1-1482,1-6,7-1461,1462-1482
C05D11.11a.3,1-1694,1-117,118-1572,1573-1694
C05D11.11a.4,1-1675,1-98,99-1553,1554-1675
C05D11.11a.5,1-1654,1-77,78-1532,1533-1654
C05D11.11a.6,1-1640,1-63,64-1518,1519-1640
C05D11.11a.7,1-1618,1-41,42-1496,1497-1618
C05D11.11a.8,1-1764,1-187,188-1642,1643-1764
C05D11.11b.1,1-1653,1-7,8-1531,1532-1653
C05D11.11b.2,1-1552,1-7,8-1531,1532-1552
C05D11.11b.3,1-1703,1-57,58-1581,1582-1703
C05D11.11b.4,1-1689,1-43,44-1567,1568-1689
C05D11.11b.5,1-1668,1-22,23-1546,1547-1668
C05D11.12.1,1-1979,1-1,2-1795,1796-1979
C05D11.12.2,1-2016,1-37,38-1831,1832-2016
C05D11.13a.1,1-1021,1-168,169-981,982-1021
C05D11.13a.2,1-1053,1-169,170-982,983-1053
C05D11.13b.1,1-895,1-3,4-822,823-895
C05D11.2.1,1-2719,1-2,3-2561,2562-2719
C05D11.3.1,1-797,1-3,4-630,631-797
C05D11.4.1,1-1735,1-8,9-1286,1287-1735
C05D11.5.1,1-1382,1-525,526-1314,1315-1382
C05D11.6a.1,1-1503,1-40,41-988,989-1503
C05D11.6b.1,1-1138,1-40,41-1138,
C05D11.6c.1,1-1099,1-40,41-1099,
C05D11.7a.1,1-2584,1-3,4-1869,1870-2584
C05D11.7a.2,1-2908,1-334,335-2200,2201-2908
C05D11.7b.1,1-2632,1-3,4-2259,2260-2632
C05D11.7b.2,1-2651,1-3,4-2259,2260-2651
C05D11.7b.3,1-2982,1-334,335-2590,2591-2982
C05D11.8.1,1-4311,,1-2622,2623-4311
C05D11.9.1,1-2411,1-33,34-2292,2293-2411
C05D12.1.1,1-1816,1-110,111-1607,1608-1816
C05D12.1.2,1-1773,1-67,68-1564,1565-1773
C05D12.1.3,1-1885,1-158,159-1655,1656-1885
C05D12.2.1,1-3159,1-15,16-3126,3127-3159
C05D12.3a.1,1-3177,1-12,13-3132,3133-3177
C05D12.3a.2,1-3225,1-12,13-3132,3133-3225
C05D12.3a.3,1-3664,1-451,452-3571,3572-3664
C05D12.3c.1,1-3909,1-12,13-3018,3019-3909
C05D12.3c.2,1-4417,1-451,452-3457,3458-4417
C05D12.3c.3,1-5663,1-451,452-3457,3458-5663
C05D12.4.1,1-1788,1-905,906-1727,1728-1788
C05D12.5.1,1-738,1-21,22-738,
C05D12.7.1,1-718,1-108,109-363,364-718
C05D2.10a.1,1-1632,1-7,8-1462,1463-1632
C05D2.10b.1,1-1641,1-7,8-1468,1469-1641
C05D2.1a.1,1-2714,,1-2235,2236-2714
C05D2.1a.2,1-3024,1-128,129-2363,2364-3024
C05D2.1b.1,1-2239,,1-1578,1579-2239
C05D2.1c.1,1-2621,1-181,182-1960,1961-2621
C05D2.1d.1,1-1568,,1-1341,1342-1568
C05D2.1e.1,1-2651,,1-2172,2173-2651
C05D2.1e.2,1-2843,1-10,11-2182,2183-2843
C05D2.3.1,1-1590,1-13,14-1543,1544-1590
C05D2.4a.1,1-1657,1-15,16-1560,1561-1657
C05D2.4b.1,1-1684,1-15,16-1587,1588-1684
C05D2.5.1,1-2315,1-1,2-2110,2111-2315
C05D2.5.2,1-2211,1-3,4-2112,2113-2211
C05D2.6a.1,1-1793,1-21,22-1572,1573-1793
C05D2.6a.2,1-1844,1-226,227-1777,1778-1844
C05D2.6b.1,1-1995,1-226,227-1774,1775-1995
C05D2.6b.2,1-1841,1-226,227-1774,1775-1841
C05D2.8.1,1-1348,1-2,3-1283,1284-1348
C05D9.1.1,1-1744,1-25,26-1444,1445-1744
C05D9.1.2,1-1707,1-25,26-1444,1445-1707
C05D9.2.1,1-1493,1-534,535-1425,1426-1493
C05D9.2.2,1-1067,1-89,90-980,981-1067
C05D9.2.3,1-1024,1-46,47-937,938-1024
C05D9.2.4,1-1050,1-72,73-963,964-1050
C05D9.2.5,1-1032,1-54,55-945,946-1032
C05D9.2.6,1-1038,1-60,61-951,952-1038
C05D9.2.7,1-994,1-16,17-907,908-994
C05D9.2.8,1-996,1-18,19-909,910-996
C05D9.3a.1,1-1681,1-13,14-1285,1286-1681
C05D9.3b.1,1-1375,1-13,14-1375,
C05D9.4.1,1-1120,1-518,519-1070,1071-1120
C05D9.5.1,1-850,1-2,3-641,642-850
C05D9.7.1,1-916,1-8,9-758,759-916
C05D9.9a.1,1-561,1-87,88-369,370-561
C05D9.9b.1,1-770,1-159,160-579,580-770
C05E11.1a.1,1-1285,,1-1029,1030-1285
C05E11.1a.2,1-1474,,1-1029,1030-1474
C05E11.1b.1,1-1297,,1-1041,1042-1297
C05E11.2.1,1-629,,1-444,445-629
C05E11.3a.1,1-1254,,1-708,709-1254
C05E11.3a.2,1-1154,,1-708,709-1154
C05E11.3b.1,1-1333,1-8,9-782,783-1333
C05E11.3b.2,1-1220,,1-774,775-1220
C05E11.4.1,1-1739,1-31,32-1636,1637-1739
C05E11.5.1,1-2110,1-7,8-1741,1742-2110
C05E11.6.1,1-779,1-32,33-491,492-779
C05E11.7.1,1-1747,1-165,166-1557,1558-1747
C05E11.8a.1,1-483,1-77,78-335,336-483
C05E4.1.1,1-1167,1-37,38-1117,1118-1167
C05E4.1.2,1-1268,1-138,139-1218,1219-1268
C05E4.10.1,1-1035,,1-1035,
C05E4.11.1,1-1164,,1-1023,1024-1164
C05E4.12.1,1-260,1-25,26-241,242-260
C05E4.13a.1,1-1062,,1-1062,
C05E4.13b.1,1-810,,1-810,
C05E4.14a.1,1-778,1-232,233-778,
C05E4.14b.1,1-879,1-86,87-860,861-879
C05E4.14c.1,1-1243,1-232,233-1243,
C05E4.14d.1,1-564,,1-564,
C05E4.14e.1,1-1029,,1-1029,
C05E4.14f.1,1-564,,1-564,
C05E4.14g.1,1-582,,1-582,
C05E4.14h.1,1-918,,1-918,
C05E4.14i.1,1-453,,1-453,
C05E4.14j.1,1-471,,1-471,
C05E4.15a.1,1-1081,1-76,77-1081,
C05E4.15b.1,1-720,,1-720,
C05E4.2a.1,1-1119,,1-1056,1057-1119
C05E4.2b.1,1-1125,,1-1062,1063-1125
C05E4.3.1,1-1317,1-75,76-1176,1177-1317
C05E4.4a.1,1-1130,,1-1068,1069-1130
C05E4.4b.1,1-488,,1-426,427-488
C05E4.6a.1,1-987,,1-987,
C05E4.6b.1,1-462,,1-462,
C05E4.7.1,1-439,,1-423,424-439
C05E4.9a.1,1-3172,1-146,147-3053,3054-3172
C05E4.9a.2,1-3152,1-146,147-3053,3054-3152
C05E4.9a.3,1-3303,1-146,147-3053,3054-3303
C05E4.9b.1,1-3231,1-146,147-2738,2739-3231
C05E7.1.1,1-950,1-7,8-832,833-950
C05E7.2.1,1-1039,1-123,124-984,985-1039
C05E7.3.1,1-624,1-71,72-542,543-624
C05E7.4.1,1-1062,,1-1062,
C05G5.1.1,1-1737,1-297,298-1668,1669-1737
C05G5.1.2,1-1714,1-275,276-1646,1647-1714
C05G5.1.3,1-1635,1-195,196-1566,1567-1635
C05G5.1.4,1-1548,1-109,110-1480,1481-1548
C05G5.2a.1,1-2187,1-37,38-2095,2096-2187
C05G5.2b.1,1-2200,1-42,43-1833,1834-2200
C05G5.3.1,1-839,1-9,10-669,670-839
C05G5.3.2,1-930,1-11,12-671,672-930
C05G5.4.1,1-1240,1-6,7-975,976-1240
C05G5.4.2,1-1618,1-6,7-975,976-1618
C05G5.4.3,1-1251,1-6,7-975,976-1251
C05G5.4.4,1-1110,1-6,7-975,976-1110
C05G5.4.5,1-1163,1-6,7-975,976-1163
C05G5.4.6,1-1071,1-12,13-981,982-1071
C05G5.5a.1,1-1270,,1-1263,1264-1270
C05G5.5b.1,1-901,,1-894,895-901
C05G5.5c.1,1-741,,1-741,
C05G5.7.1,1-895,1-705,706-816,817-895
C05G5.7.2,1-479,1-287,288-398,399-479
C05G6.1.1,1-1578,1-13,14-1456,1457-1578
C05H8.1a.1,1-1784,1-200,201-1499,1500-1784
C05H8.1b.1,1-1921,1-10,11-1636,1637-1921
C06A1.1.1,1-2762,1-17,18-2447,2448-2762
C06A1.1.2,1-2684,1-23,24-2453,2454-2684
C06A1.2a.1,1-543,1-15,16-306,307-543
C06A1.2a.2,1-514,1-28,29-319,320-514
C06A1.2b.1,1-570,1-28,29-292,293-570
C06A1.2b.2,1-601,1-28,29-292,293-601
C06A1.2b.3,1-579,1-28,29-292,293-579
C06A1.2b.4,1-563,1-28,29-292,293-563
C06A1.2b.5,1-572,1-28,29-292,293-572
C06A1.2b.6,1-573,1-28,29-292,293-573
C06A1.2b.7,1-581,1-28,29-292,293-581
C06A1.3.1,1-1214,1-67,68-1162,1163-1214
C06A1.5.1,1-590,1-14,15-428,429-590
C06A1.6.1,1-524,1-2,3-461,462-524
C06A1.7.1,1-465,1-21,22-465,
C06A12.19.1,1-441,1-150,151-408,409-441
C06A12.3a.1,1-885,1-5,6-767,768-885
C06A12.3b.1,1-581,,1-462,463-581
C06A12.3c.1,1-521,,1-402,403-521
C06A12.4a.1,1-1851,,1-1851,
C06A12.4b.1,1-1821,1-21,22-1821,
C06A12.5.1,1-2047,1-591,592-1884,1885-2047
C06A12.8.1,1-632,1-121,122-553,554-632
C06A5.1.1,1-6419,1-81,82-5736,5737-6419
C06A5.1.2,1-6255,1-81,82-5736,5737-6255
C06A5.11a.1,1-924,1-4,5-883,884-924
C06A5.12.1,1-443,1-38,39-392,393-443
C06A5.12.2,1-501,1-38,39-392,393-501
C06A5.2.1,1-792,1-103,104-748,749-792
C06A5.3a.1,1-2594,1-8,9-2351,2352-2594
C06A5.3a.2,1-2623,1-37,38-2380,2381-2623
C06A5.3b.1,1-2604,1-8,9-2360,2361-2604
C06A5.3b.2,1-2653,1-57,58-2409,2410-2653
C06A5.6.1,1-2783,1-10,11-2086,2087-2783
C06A5.6.2,1-2788,1-10,11-2086,2087-2788
C06A5.6.3,1-2771,1-10,11-2086,2087-2771
C06A5.6.4,1-2612,1-10,11-2086,2087-2612
C06A5.7a.1,1-2079,1-260,261-1439,1440-2079
C06A5.7a.2,1-2167,1-348,349-1527,1528-2167
C06A5.7b.1,1-1995,1-147,148-1353,1354-1995
C06A5.8a.1,1-1006,1-6,7-858,859-1006
C06A5.8a.2,1-1088,1-88,89-940,941-1088
C06A5.8b.1,1-1033,1-237,238-885,886-1033
C06A5.8b.2,1-998,1-202,203-850,851-998
C06A5.8b.3,1-964,1-168,169-816,817-964
C06A5.8b.4,1-960,1-164,165-812,813-960
C06A5.9.1,1-1355,1-116,117-1262,1263-1355
C06A6.2a.1,1-2209,1-12,13-2004,2005-2209
C06A6.2b.1,1-2316,1-12,13-2013,2014-2316
C06A6.2c.1,1-1182,,1-975,976-1182
C06A6.2d.1,1-1171,,1-966,967-1171
C06A6.2e.1,1-1058,1-5,6-860,861-1058
C06A6.2f.1,1-1056,1-5,6-851,852-1056
C06A6.3.1,1-1036,1-11,12-845,846-1036
C06A6.3.2,1-1073,1-48,49-882,883-1073
C06A6.4a.1,1-1344,1-3,4-1197,1198-1344
C06A6.4a.2,1-1474,1-133,134-1327,1328-1474
C06A6.4a.3,1-1354,1-13,14-1207,1208-1354
C06A6.4b.1,1-1386,1-3,4-1239,1240-1386
C06A6.4b.2,1-1539,1-156,157-1392,1393-1539
C06A6.4b.3,1-1396,1-13,14-1249,1250-1396
C06A6.5.1,1-1393,1-3,4-1245,1246-1393
C06A6.5.2,1-1688,1-292,293-1534,1535-1688
C06A6.7.1,1-1453,1-322,323-1345,1346-1453
C06A6.7.2,1-1259,1-128,129-1151,1152-1259
C06A6.7.3,1-1187,1-55,56-1078,1079-1187
C06A8.1a.1,1-2299,1-74,75-2066,2067-2299
C06A8.1a.2,1-2309,1-84,85-2076,2077-2309
C06A8.1a.3,1-2327,1-74,75-2066,2067-2327
C06A8.1b.1,1-2458,1-296,297-2225,2226-2458
C06A8.1b.2,1-2494,1-296,297-2225,2226-2494
C06A8.1b.3,1-2570,1-380,381-2309,2310-2570
C06A8.1b.4,1-2641,1-451,452-2380,2381-2641
C06A8.1b.5,1-2605,1-415,416-2344,2345-2605
C06A8.2.1,1-1613,1-92,93-1514,1515-1613
C06A8.3.1,1-657,1-72,73-528,529-657
C06A8.4.1,1-1089,1-361,362-904,905-1089
C06A8.4.2,1-796,1-74,75-617,618-796
C06A8.4.3,1-811,1-90,91-633,634-811
C06A8.5.1,1-1602,1-21,22-1461,1462-1602
C06A8.6.1,1-1215,1-116,117-1166,1167-1215
C06A8.7.1,1-999,,1-999,
C06A8.8a.1,1-1515,,1-1212,1213-1515
C06A8.8b.1,1-521,1-3,4-255,256-521
C06A8.8c.1,1-798,1-14,15-521,522-798
C06A8.8d.1,1-578,,1-309,310-578
C06A8.8e.1,1-1194,,1-891,892-1194
C06A8.8f.1,1-1454,1-458,459-1151,1152-1454
C06A8.8f.2,1-1053,1-57,58-750,751-1053
C06A8.8g.1,1-939,,1-636,637-939
C06A8.8h.1,1-1105,,1-828,829-1105
C06A8.9a.1,1-3041,1-22,23-2878,2879-3041
C06A8.9b.1,1-3083,1-22,23-2656,2657-3083
C06B3.1.1,1-765,,1-765,
C06B3.10.1,1-1026,,1-1026,
C06B3.11.1,1-927,,1-927,
C06B3.12.1,1-924,,1-924,
C06B3.13.1,1-1339,1-406,407-1339,
C06B3.14.1,1-918,,1-918,
C06B3.16.1,1-498,1-21,22-246,247-498
C06B3.16.2,1-620,1-12,13-237,238-620
C06B3.2.1,1-2076,,1-2076,
C06B3.3.1,1-1543,1-20,21-1508,1509-1543
C06B3.4.1,1-1109,1-5,6-950,951-1109
C06B3.4.2,1-1133,1-38,39-983,984-1133
C06B3.5.1,1-1145,,1-948,949-1145
C06B3.6.1,1-884,1-9,10-672,673-884
C06B3.6.2,1-1430,1-555,556-1218,1219-1430
C06B3.7.1,1-1107,1-134,135-1046,1047-1107
C06B3.8.1,1-2235,1-90,91-2145,2146-2235
C06B3.9.1,1-1074,,1-1074,
C06B8.1.1,1-1272,1-82,83-1111,1112-1272
C06B8.1.2,1-1283,1-93,94-1122,1123-1283
C06B8.10.1,1-1035,,1-1035,
C06B8.2a.1,1-1443,1-214,215-1273,1274-1443
